date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:51:31	95381/95381	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2021:16:16%20GMT	https://www.w3schools.com/bootstrap4/default.asp	D:/bootstrap-docs/bootstratp4/www.w3schools.com/bootstrap4/default.html	(from )
22:51:31	166/166	---M-Z	200	added ('OK')	text/plain	etag:%2207010ea2850d91:0%22	https://www.w3schools.com/robots.txt		(from )
22:51:31	63593/63593	---M-Z	200	added ('OK')	text/css	etag:%2207010ea2850d91:0+gzip%22	https://www.w3schools.com/lib/w3schools31.css	D:/bootstrap-docs/bootstratp4/www.w3schools.com/lib/w3schools31.css	(from https://www.w3schools.com/bootstrap4/default.asp)
22:51:31	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2006%20Mar%202023%2021:51:29%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/bootstrap-docs/bootstratp4/www.googletagmanager.com/gtm.25445.delayed	(from https://www.w3schools.com/bootstrap4/default.asp)
22:51:32	70128/70128	---M-Z	200	added ('OK')	application/javascript	etag:%2207010ea2850d91:0+gzip%22	https://www.w3schools.com/lib/uic.js?v=1.0.5	D:/bootstrap-docs/bootstratp4/www.w3schools.com/lib/uic3447.js	(from https://www.w3schools.com/bootstrap4/default.asp)
22:51:32	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2021:51:30%20GMT	https://www.w3schools.com/bootstrap4/pandas/	D:/bootstrap-docs/bootstratp4/www.w3schools.com/bootstrap4/pandas/index.html	(from https://www.w3schools.com/bootstrap4/default.asp)
22:51:32	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2021:51:30%20GMT	https://www.w3schools.com/bootstrap4/python/	D:/bootstrap-docs/bootstratp4/www.w3schools.com/bootstrap4/python/index.html	(from https://www.w3schools.com/bootstrap4/default.asp)
22:51:32	15692/15692	---MCZ	200	added ('OK')	application/javascript	etag:W/%223d4c-5f5c02bdf791a%22	https://cdn.snigelweb.com/adengine/w3schools.com/loader.js	D:/bootstrap-docs/bootstratp4/cdn.snigelweb.com/adengine/w3schools.com/loader.js	(from https://www.w3schools.com/bootstrap4/default.asp)
22:51:32	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2021:51:30%20GMT	https://www.w3schools.com/bootstrap4/numpy/	D:/bootstrap-docs/bootstratp4/www.w3schools.com/bootstrap4/numpy/index.html	(from https://www.w3schools.com/bootstrap4/default.asp)
22:51:33	2807/2807	---M-Z	200	added ('OK')	application/javascript	etag:%2207010ea2850d91:0+gzip%22	https://www.w3schools.com/lib/common-deps.js?v=1.0.0	D:/bootstrap-docs/bootstratp4/www.w3schools.com/lib/common-depse209.js	(from https://www.w3schools.com/bootstrap4/default.asp)
