date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:32	32/32	---M--	200	added ('OK')	text/plain	etag:%225fa992f5-20%22	https://cplusplus.com/robots.txt		(from )
23:02:32	35074/35074	---MCZ	200	added ('OK')	text/html	etag:W/%228902-2KLM16Ci9YdaZgwPkWcn3LPmCT8%22	https://cplusplus.com/reference/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/index.html	(from )
23:02:33	20122/20122	---M--	200	added ('OK')	text/css	etag:%22631f68b0-4e9a%22	https://cplusplus.com/v3.3.4/site.css	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/v3.3.4/site.css	(from https://cplusplus.com/reference/)
23:02:33	40050/40050	---M--	200	added ('OK')	application/javascript	etag:%22631f68af-9c72%22	https://cplusplus.com/v3.3.4/main.js	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/v3.3.4/main.js	(from https://cplusplus.com/reference/)
23:02:33	8838/8838	---MC-	200	added ('OK')	text/javascript	date:Wed,%2003%20May%202023%2021:02:34%20GMT	https://cse.google.com/cse.js?cx=partner-pub-7688470879129516:0646519325	D:/cpluplus-reference-docs/cplusplus/cse.google.com/f2c10.txt	(from https://cplusplus.com/reference/)
23:02:34	596136/596136	---MCZ	200	added ('OK')	application/javascript	etag:%22379f6a21eae79a457d9ee97c54add1ea%22	https://cdn4.buysellads.net/pub/cplusplus.js?	D:/cpluplus-reference-docs/cplusplus/cdn4.buysellads.net/pub/cplusplusd41d.js	(from https://cplusplus.com/reference/)
23:02:34	1428/1428	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22594-VBtrFu1YFX7ZFJCWG/8y/ALYodQ%22	https://cplusplus.com/reference/iostream/cin.html	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/iostream/cin.html	(from https://cplusplus.com/reference/)
23:02:34	30613/30613	---MCZ	200	added ('OK')	text/html	etag:W/%227795-ivvz41NATcH/o/7fEyOkodQ2SQw%22	https://cplusplus.com/reference/clibrary/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/clibrary/index.html	(from https://cplusplus.com/reference/)
23:02:34	21874/21874	---MCZ	200	added ('OK')	text/html	etag:W/%225572-a9wmcuB7s+u5gQxbWwZ7TEUzT04%22	https://cplusplus.com/reference/cassert/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/cassert/index.html	(from https://cplusplus.com/reference/)
23:02:34	1428/1428	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22594-VBtrFu1YFX7ZFJCWG/8y/ALYodQ%22	https://cplusplus.com/reference/iostream/cout.html	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/iostream/cout.html	(from https://cplusplus.com/reference/)
23:02:34	8813/8813	---M--	200	added ('OK')	image/gif	etag:%225e5d58e9-226d%22	https://cplusplus.com/img/iostream.gif	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/img/iostream.gif	(from https://cplusplus.com/reference/)
23:02:35	1428/1428	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22594-VBtrFu1YFX7ZFJCWG/8y/ALYodQ%22	https://cplusplus.com/reference/delete.do	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/delete.do	(from https://cplusplus.com/reference/)
23:02:35	21871/21871	---MCZ	200	added ('OK')	text/html	etag:W/%22556f-iWGnLX0bJDxGobyJB53H/pPAX0Q%22	https://cplusplus.com/reference/cerrno/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/cerrno/index.html	(from https://cplusplus.com/reference/)
23:02:35	30818/30818	---MCZ	200	added ('OK')	text/html	etag:W/%227862-dcDC2HBbZZ8CACRPybIOT4FUDjI%22	https://cplusplus.com/reference/cctype/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/cctype/index.html	(from https://cplusplus.com/reference/)
23:02:35	32953/32953	---MCZ	200	added ('OK')	text/html	etag:W/%2280b9-w2jbVg+EFX21MSAiIkkICo6y2r8%22	https://cplusplus.com/reference/cfenv/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/cfenv/index.html	(from https://cplusplus.com/reference/)
23:02:36	100229/100229	---M--	200	added ('OK')	image/png	etag:%2253abe753-18785%22	https://cplusplus.com/v3.3.4/bg.png	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/v3.3.4/bg.png	(from https://cplusplus.com/v3.3.4/site.css)
23:02:36	27729/27729	---MCZ	200	added ('OK')	text/html	etag:W/%226c51-sAV0/TZrsIwx2OUIiL7GkGZR5nc%22	https://cplusplus.com/reference/cfloat/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/cfloat/index.html	(from https://cplusplus.com/reference/)
23:02:36	29289/29289	---MCZ	200	added ('OK')	text/html	etag:W/%227269-zAW/gdmBFTxm7YUj/glkuMW7i8U%22	https://cplusplus.com/reference/cinttypes/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/cinttypes/index.html	(from https://cplusplus.com/reference/)
23:02:36	26037/26037	---MCZ	200	added ('OK')	text/html	etag:W/%2265b5-aQDtPQADLQ+HRhZxUpWPPQlDbAI%22	https://cplusplus.com/reference/climits/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/climits/index.html	(from https://cplusplus.com/reference/)
23:02:36	22338/22338	---MCZ	200	added ('OK')	text/html	etag:W/%225742-uFyttRme83+W3W2dIAmtQb+CKQ8%22	https://cplusplus.com/reference/ciso646/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/ciso646/index.html	(from https://cplusplus.com/reference/)
23:02:36	1428/1428	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22594-VBtrFu1YFX7ZFJCWG/8y/ALYodQ%22	https://cplusplus.com/reference/clibrary/delete.do	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/clibrary/delete.do	(from https://cplusplus.com/reference/clibrary/)
23:02:37	1428/1428	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22594-VBtrFu1YFX7ZFJCWG/8y/ALYodQ%22	https://cplusplus.com/reference/cassert/delete.do	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/cassert/delete.do	(from https://cplusplus.com/reference/cassert/)
23:03:03	25544/25544	---MCZ	200	added ('OK')	text/html	etag:W/%2263c8-xlxtt9YIcU67y1Kp7dxarGk4yLg%22	https://cplusplus.com/reference/clocale/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/clocale/index.html	(from https://cplusplus.com/reference/)
23:03:03	53173/53173	---MCZ	200	added ('OK')	text/html	etag:W/%22cfb5-M8dueXp/4mQ4PkHgnvzPJ6LENck%22	https://cplusplus.com/reference/cmath/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/cmath/index.html	(from https://cplusplus.com/reference/)
23:03:03	22867/22867	---MCZ	200	added ('OK')	text/html	etag:W/%225953-WiSdRLDIHe6EoUTKn83nPyPT/a8%22	https://cplusplus.com/reference/csetjmp/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/csetjmp/index.html	(from https://cplusplus.com/reference/)
23:03:04	25214/25214	---MCZ	200	added ('OK')	text/html	etag:W/%22627e-BwCVbhtUF8wjW72TE8WgfFNN5VA%22	https://cplusplus.com/reference/csignal/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/csignal/index.html	(from https://cplusplus.com/reference/)
23:03:04	21908/21908	---MCZ	200	added ('OK')	text/html	etag:W/%225594-i6JfGYVUDfTIhvvYOrPlpR4I/oI%22	https://cplusplus.com/reference/cstdbool/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/cstdbool/index.html	(from https://cplusplus.com/reference/)
23:03:04	24380/24380	---MCZ	200	added ('OK')	text/html	etag:W/%225f3c-l7RIU5LbV4t2972xPvzFRxRPuis%22	https://cplusplus.com/reference/cstdarg/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/cstdarg/index.html	(from https://cplusplus.com/reference/)
23:03:04	1428/1428	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22594-VBtrFu1YFX7ZFJCWG/8y/ALYodQ%22	https://cplusplus.com/reference/cctype/delete.do	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/cctype/delete.b.delayed	(from https://cplusplus.com/reference/cctype/)
23:03:04	24129/24129	---MCZ	200	added ('OK')	text/html	etag:W/%225e41-ItDfph1jJZCTB84BZHUaxUI19iY%22	https://cplusplus.com/reference/cstddef/	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/cstddef/index.html	(from https://cplusplus.com/reference/)
23:03:04	1428/1428	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22594-VBtrFu1YFX7ZFJCWG/8y/ALYodQ%22	https://cplusplus.com/reference/cerrno/delete.do	D:/cpluplus-reference-docs/cplusplus/cplusplus.com/reference/cerrno/delete.do	(from https://cplusplus.com/reference/cerrno/)
