date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:34:23	171905/171905	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2019:52:16%20GMT	https://www.w3schools.com/cssref/index.php	D:/css-reference-docs/css-reference/www.w3schools.com/cssref/index.html	(from )
22:34:23	166/166	---M-Z	200	added ('OK')	text/plain	etag:%22010c44ee47cd91:0%22	https://www.w3schools.com/robots.txt		(from )
22:34:24	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	D:/css-reference-docs/css-reference/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.w3schools.com/cssref/index.php)
22:34:24	63593/63593	---M-Z	200	added ('OK')	text/css	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/w3schools31.css	D:/css-reference-docs/css-reference/www.w3schools.com/lib/w3schools31.css	(from https://www.w3schools.com/cssref/index.php)
22:34:24	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2003%20May%202023%2020:34:25%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/css-reference-docs/css-reference/www.googletagmanager.com/gtm.35445.delayed	(from https://www.w3schools.com/cssref/index.php)
22:34:25	70128/70128	---M-Z	200	added ('OK')	application/javascript	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/uic.js?v=1.0.5	D:/css-reference-docs/css-reference/www.w3schools.com/lib/uic3447.js	(from https://www.w3schools.com/cssref/index.php)
22:34:25	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20May%202023%2020:34:25%20GMT	https://www.w3schools.com/cssref/python/	D:/css-reference-docs/css-reference/www.w3schools.com/cssref/python/index.html	(from https://www.w3schools.com/cssref/index.php)
22:34:25	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20May%202023%2020:34:26%20GMT	https://www.w3schools.com/cssref/numpy/	D:/css-reference-docs/css-reference/www.w3schools.com/cssref/numpy/index.html	(from https://www.w3schools.com/cssref/index.php)
22:34:25	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20May%202023%2020:34:26%20GMT	https://www.w3schools.com/cssref/pandas/	D:/css-reference-docs/css-reference/www.w3schools.com/cssref/pandas/index.html	(from https://www.w3schools.com/cssref/index.php)
22:34:25	15965/15965	---MCZ	200	added ('OK')	application/javascript	etag:W/%223e5d-5fab6ec2a15fe%22	https://cdn.snigelweb.com/adengine/w3schools.com/loader.js	D:/css-reference-docs/css-reference/cdn.snigelweb.com/adengine/w3schools.com/loader.js	(from https://www.w3schools.com/cssref/index.php)
22:34:26	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20May%202023%2020:34:26%20GMT	https://www.w3schools.com/cssref/scipy/	D:/css-reference-docs/css-reference/www.w3schools.com/cssref/scipy/index.html	(from https://www.w3schools.com/cssref/index.php)
22:34:26	3237/3237	---M-Z	200	added ('OK')	application/javascript	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/common-deps.js?v=1.0.1	D:/css-reference-docs/css-reference/www.w3schools.com/lib/common-depsf700.js	(from https://www.w3schools.com/cssref/index.php)
22:34:26	52679/52679	---M-Z	200	added ('OK')	application/javascript	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/user-session.js?v=1.0.28	D:/css-reference-docs/css-reference/www.w3schools.com/lib/user-session0ca8.js	(from https://www.w3schools.com/cssref/index.php)
22:34:26	19401/19401	---M-Z	200	added ('OK')	application/javascript	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/my-learning.js?v=1.0.19	D:/css-reference-docs/css-reference/www.w3schools.com/lib/my-learning17d3.js	(from https://www.w3schools.com/cssref/index.php)
22:34:27	86/86	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20May%202023%2020:34:27%20GMT	https://www.w3schools.com/cssref/css3_browsersupport.asp	D:/css-reference-docs/css-reference/www.w3schools.com/cssref/css3_browsersupport.9.delayed	(from https://www.w3schools.com/cssref/index.php)
22:34:27	214426/214426	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2020:19:42%20GMT	https://www.w3schools.com/cssref/css3_browsersupport.php	D:/css-reference-docs/css-reference/www.w3schools.com/cssref/css3_browsersupport.html	(from https://www.w3schools.com/cssref/index.php)
22:34:28	86/86	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20May%202023%2020:34:29%20GMT	https://www.w3schools.com/cssref/css_selectors.asp	D:/css-reference-docs/css-reference/www.w3schools.com/cssref/css_selectors.b.delayed	(from https://www.w3schools.com/cssref/index.php)
22:34:29	125222/125222	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2019:49:08%20GMT	https://www.w3schools.com/cssref/css_selectors.php	D:/css-reference-docs/css-reference/www.w3schools.com/cssref/css_selectors.html	(from https://www.w3schools.com/cssref/index.php)
22:34:29	115937/115937	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2016:48:57%20GMT	https://www.w3schools.com/cssref/css_functions.php	D:/css-reference-docs/css-reference/www.w3schools.com/cssref/css_functions.html	(from https://www.w3schools.com/cssref/index.php)
22:34:29	118758/118758	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2017:16:10%20GMT	https://www.w3schools.com/cssref/css_ref_aural.php	D:/css-reference-docs/css-reference/www.w3schools.com/cssref/css_ref_aural.html	(from https://www.w3schools.com/cssref/index.php)
