date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:59	116976/116976	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20May%202023%2019:40:51%20GMT	https://www.w3schools.com/css/default.asp	D:/css-docs/CSS/www.w3schools.com/css/default.html	(from )
22:20:00	166/166	---M-Z	200	added ('OK')	text/plain	etag:%22010c44ee47cd91:0%22	https://www.w3schools.com/robots.txt		(from )
22:20:00	63593/63593	---M-Z	200	added ('OK')	text/css	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/w3schools31.css	D:/css-docs/CSS/www.w3schools.com/lib/w3schools31.css	(from https://www.w3schools.com/css/default.asp)
22:20:00	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2003%20May%202023%2020:20:01%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/css-docs/CSS/www.googletagmanager.com/gtm.25445.delayed	(from https://www.w3schools.com/css/default.asp)
22:20:00	70128/70128	---M-Z	200	added ('OK')	application/javascript	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/uic.js?v=1.0.5	D:/css-docs/CSS/www.w3schools.com/lib/uic3447.js	(from https://www.w3schools.com/css/default.asp)
22:20:01	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20May%202023%2020:20:01%20GMT	https://www.w3schools.com/css/numpy/	D:/css-docs/CSS/www.w3schools.com/css/numpy/index.html	(from https://www.w3schools.com/css/default.asp)
22:20:01	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20May%202023%2020:20:01%20GMT	https://www.w3schools.com/css/pandas/	D:/css-docs/CSS/www.w3schools.com/css/pandas/index.html	(from https://www.w3schools.com/css/default.asp)
22:20:01	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20May%202023%2020:20:01%20GMT	https://www.w3schools.com/css/python/	D:/css-docs/CSS/www.w3schools.com/css/python/index.html	(from https://www.w3schools.com/css/default.asp)
22:20:01	15965/15965	---MCZ	200	added ('OK')	application/javascript	etag:W/%223e5d-5fab6ec2a15fe%22	https://cdn.snigelweb.com/adengine/w3schools.com/loader.js	D:/css-docs/CSS/cdn.snigelweb.com/adengine/w3schools.com/loader.js	(from https://www.w3schools.com/css/default.asp)
22:20:01	3237/3237	---M-Z	200	added ('OK')	application/javascript	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/common-deps.js?v=1.0.1	D:/css-docs/CSS/www.w3schools.com/lib/common-depsf700.js	(from https://www.w3schools.com/css/default.asp)
