date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:35:07	108583/108583	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2004:04:59%20GMT	https://www.w3schools.com/django/index.php	F:/manualy/django-tutorial/www.w3schools.com/django/index.html	(from )
08:35:08	111/111	---M-Z	200	added ('OK')	text/plain	etag:%22010c44ee47cd91:0+ident+gzip%22	https://www.w3schools.com/robots.txt		(from )
08:35:08	6369/6369	---M--	200	added ('OK')	image/png	etag:%22010c44ee47cd91:0%22	https://www.w3schools.com/images/w3schools_logo_436_2.png	F:/manualy/django-tutorial/www.w3schools.com/images/w3schools_logo_436_2.png	(from https://www.w3schools.com/django/index.php)
08:35:08	63593/63593	---M-Z	200	added ('OK')	text/css	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/w3schools31.css	F:/manualy/django-tutorial/www.w3schools.com/lib/w3schools31.css	(from https://www.w3schools.com/django/index.php)
08:35:09	72610/72610	---M-Z	200	added ('OK')	application/javascript	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/prism2.js	F:/manualy/django-tutorial/www.w3schools.com/lib/prism2.js	(from https://www.w3schools.com/django/index.php)
08:35:09	9024/9024	---M-Z	200	added ('OK')	text/css	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/prism1.css	F:/manualy/django-tutorial/www.w3schools.com/lib/prism1.css	(from https://www.w3schools.com/django/index.php)
08:35:09	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2004%20May%202023%2006:35:09%20GMT	https://www.googletagmanager.com/gtm.js?id=	F:/manualy/django-tutorial/www.googletagmanager.com/gtm.55445.delayed	(from https://www.w3schools.com/django/index.php)
08:35:10	70128/70128	---M-Z	200	added ('OK')	application/javascript	etag:%22010c44ee47cd91:0%22	https://www.w3schools.com/lib/uic.js?v=1.0.5	F:/manualy/django-tutorial/www.w3schools.com/lib/uic3447.js	(from https://www.w3schools.com/django/index.php)
08:35:10	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2006:35:10%20GMT	https://www.w3schools.com/django/pandas/	F:/manualy/django-tutorial/www.w3schools.com/django/pandas/index.html	(from https://www.w3schools.com/django/index.php)
08:35:10	15965/15965	---MCZ	200	added ('OK')	application/javascript	etag:W/%223e5d-5fab6ec2a15fe%22	https://cdn.snigelweb.com/adengine/w3schools.com/loader.js	F:/manualy/django-tutorial/cdn.snigelweb.com/adengine/w3schools.com/loader.js	(from https://www.w3schools.com/django/index.php)
08:35:10	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2006:35:10%20GMT	https://www.w3schools.com/django/python/	F:/manualy/django-tutorial/www.w3schools.com/django/python/index.html	(from https://www.w3schools.com/django/index.php)
08:35:10	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2006:35:10%20GMT	https://www.w3schools.com/django/numpy/	F:/manualy/django-tutorial/www.w3schools.com/django/numpy/index.html	(from https://www.w3schools.com/django/index.php)
