date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:12:26	111/111	---M-Z	200	added ('OK')	text/plain	etag:%2207010ea2850d91:0+ident+gzip%22	https://www.w3schools.com/robots.txt		(from )
19:12:26	98609/98609	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2014:21:56%20GMT	https://www.w3schools.com/mysql/	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/index.html	(from )
19:12:26	6369/6369	---M--	200	added ('OK')	image/png	etag:%2207010ea2850d91:0%22	https://www.w3schools.com/images/w3schools_logo_436_2.png	D:/mysqldocs/MySQL%20docs/www.w3schools.com/images/w3schools_logo_436_2.png	(from https://www.w3schools.com/mysql/)
19:12:27	63593/63593	---M-Z	200	added ('OK')	text/css	etag:%2207010ea2850d91:0+gzip%22	https://www.w3schools.com/lib/w3schools31.css	D:/mysqldocs/MySQL%20docs/www.w3schools.com/lib/w3schools31.css	(from https://www.w3schools.com/mysql/)
19:12:27	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2006%20Mar%202023%2018:12:24%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/mysqldocs/MySQL%20docs/www.googletagmanager.com/gtm.25445.delayed	(from https://www.w3schools.com/mysql/)
19:12:27	70128/70128	---M-Z	200	added ('OK')	application/javascript	etag:%2207010ea2850d91:0+gzip%22	https://www.w3schools.com/lib/uic.js?v=1.0.5	D:/mysqldocs/MySQL%20docs/www.w3schools.com/lib/uic3447.js	(from https://www.w3schools.com/mysql/)
19:12:28	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2018:12:25%20GMT	https://www.w3schools.com/mysql/pandas/	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/pandas/index.html	(from https://www.w3schools.com/mysql/)
19:12:28	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2018:12:25%20GMT	https://www.w3schools.com/mysql/python/	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/python/index.html	(from https://www.w3schools.com/mysql/)
19:12:29	15692/15692	---MCZ	200	added ('OK')	application/javascript	etag:W/%223d4c-5f5c02bdf791a%22	https://cdn.snigelweb.com/adengine/w3schools.com/loader.js	D:/mysqldocs/MySQL%20docs/cdn.snigelweb.com/adengine/w3schools.com/loader.js	(from https://www.w3schools.com/mysql/)
19:12:29	2807/2807	---M-Z	200	added ('OK')	application/javascript	etag:%2207010ea2850d91:0+gzip%22	https://www.w3schools.com/lib/common-deps.js?v=1.0.0	D:/mysqldocs/MySQL%20docs/www.w3schools.com/lib/common-depse209.js	(from https://www.w3schools.com/mysql/)
19:12:29	8922/8922	---M-Z	200	added ('OK')	application/javascript	etag:%2207010ea2850d91:0+gzip%22	https://www.w3schools.com/lib/user-session.js?v=1.0.2	D:/mysqldocs/MySQL%20docs/www.w3schools.com/lib/user-session0ff5.js	(from https://www.w3schools.com/mysql/)
19:12:29	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2018:12:26%20GMT	https://www.w3schools.com/mysql/numpy/	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/numpy/index.html	(from https://www.w3schools.com/mysql/)
19:12:29	18640/18640	---M-Z	200	added ('OK')	application/javascript	etag:%2207010ea2850d91:0+gzip%22	https://www.w3schools.com/lib/my-learning.js?v=1.0.11	D:/mysqldocs/MySQL%20docs/www.w3schools.com/lib/my-learning248b.js	(from https://www.w3schools.com/mysql/)
19:12:30	98609/98609	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2017:07:04%20GMT	https://www.w3schools.com/mysql/default.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/default.html	(from https://www.w3schools.com/mysql/)
19:12:30	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2006%20Mar%202023%2018:12:27%20GMT	https://www.w3schools.com/mysql/scipy/	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/scipy/index.html	(from https://www.w3schools.com/mysql/)
19:12:30	113527/113527	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2015:48:05%20GMT	https://www.w3schools.com/mysql/mysql_ref_functions.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_ref_functions.html	(from https://www.w3schools.com/mysql/)
19:12:31	96294/96294	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2014:28:21%20GMT	https://www.w3schools.com/mysql/mysql_exercises.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_exercises.html	(from https://www.w3schools.com/mysql/)
19:12:31	96262/96262	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2014:56:29%20GMT	https://www.w3schools.com/mysql/mysql_quiz.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_quiz.html	(from https://www.w3schools.com/mysql/)
19:12:31	96687/96687	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2014:25:56%20GMT	https://www.w3schools.com/mysql/mysql_intro.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_intro.html	(from https://www.w3schools.com/mysql/)
19:12:32	101597/101597	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2014:19:11%20GMT	https://www.w3schools.com/mysql/mysql_rdbms.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_rdbms.html	(from https://www.w3schools.com/mysql/)
19:12:32	97599/97599	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2017:26:09%20GMT	https://www.w3schools.com/mysql/mysql_sql.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_sql.html	(from https://www.w3schools.com/mysql/)
19:12:32	101131/101131	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2017:40:15%20GMT	https://www.w3schools.com/mysql/mysql_select.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_select.html	(from https://www.w3schools.com/mysql/)
19:12:33	101380/101380	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2017:40:26%20GMT	https://www.w3schools.com/mysql/mysql_where.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_where.html	(from https://www.w3schools.com/mysql/)
19:12:35	100367/100367	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2017:58:51%20GMT	https://www.w3schools.com/mysql/mysql_orderby.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_orderby.html	(from https://www.w3schools.com/mysql/)
19:12:35	116726/116726	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2018:11:08%20GMT	https://www.w3schools.com/mysql/mysql_and_or.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_and_or.html	(from https://www.w3schools.com/mysql/)
19:12:35	101971/101971	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2017:23:41%20GMT	https://www.w3schools.com/mysql/mysql_insert.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_insert.html	(from https://www.w3schools.com/mysql/)
19:12:36	100227/100227	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2014:39:36%20GMT	https://www.w3schools.com/mysql/mysql_null_values.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_null_values.html	(from https://www.w3schools.com/mysql/)
19:12:36	102855/102855	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2017:11:35%20GMT	https://www.w3schools.com/mysql/mysql_update.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_update.html	(from https://www.w3schools.com/mysql/)
19:12:36	100442/100442	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2017:40:37%20GMT	https://www.w3schools.com/mysql/mysql_delete.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_delete.html	(from https://www.w3schools.com/mysql/)
19:12:37	98374/98374	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2014:29:13%20GMT	https://www.w3schools.com/mysql/mysql_limit.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_limit.html	(from https://www.w3schools.com/mysql/)
19:12:37	98794/98794	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2016:44:04%20GMT	https://www.w3schools.com/mysql/mysql_min_max.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_min_max.html	(from https://www.w3schools.com/mysql/)
19:12:38	100448/100448	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2016:09:15%20GMT	https://www.w3schools.com/mysql/mysql_count_avg_sum.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_count_avg_sum.html	(from https://www.w3schools.com/mysql/)
19:12:38	116987/116987	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2014:14:05%20GMT	https://www.w3schools.com/mysql/mysql_like.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_like.html	(from https://www.w3schools.com/mysql/)
19:12:38	115639/115639	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2015:31:50%20GMT	https://www.w3schools.com/mysql/mysql_wildcards.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_wildcards.html	(from https://www.w3schools.com/mysql/)
19:12:39	114191/114191	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2015:15:38%20GMT	https://www.w3schools.com/mysql/mysql_in.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_in.html	(from https://www.w3schools.com/mysql/)
19:12:39	102289/102289	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2016:26:25%20GMT	https://www.w3schools.com/mysql/mysql_between.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_between.html	(from https://www.w3schools.com/mysql/)
19:12:39	101668/101668	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2017:25:43%20GMT	https://www.w3schools.com/mysql/mysql_alias.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_alias.html	(from https://www.w3schools.com/mysql/)
19:12:40	100252/100252	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2017:48:32%20GMT	https://www.w3schools.com/mysql/mysql_join.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_join.html	(from https://www.w3schools.com/mysql/)
19:12:40	99948/99948	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2014:41:25%20GMT	https://www.w3schools.com/mysql/mysql_join_inner.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_join_inner.html	(from https://www.w3schools.com/mysql/)
19:12:41	98425/98425	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2016:12:45%20GMT	https://www.w3schools.com/mysql/mysql_join_left.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_join_left.html	(from https://www.w3schools.com/mysql/)
19:12:41	99131/99131	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2015:23:56%20GMT	https://www.w3schools.com/mysql/mysql_join_right.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_join_right.html	(from https://www.w3schools.com/mysql/)
19:12:41	99350/99350	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2015:16:31%20GMT	https://www.w3schools.com/mysql/mysql_join_cross.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_join_cross.html	(from https://www.w3schools.com/mysql/)
19:12:42	97450/97450	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2017:54:00%20GMT	https://www.w3schools.com/mysql/mysql_join_self.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_join_self.html	(from https://www.w3schools.com/mysql/)
19:12:42	102093/102093	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2016:20:44%20GMT	https://www.w3schools.com/mysql/mysql_union.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_union.html	(from https://www.w3schools.com/mysql/)
19:12:42	100966/100966	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2014:17:23%20GMT	https://www.w3schools.com/mysql/mysql_groupby.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_groupby.html	(from https://www.w3schools.com/mysql/)
19:12:43	101206/101206	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Mar%202023%2015:58:14%20GMT	https://www.w3schools.com/mysql/mysql_having.asp	D:/mysqldocs/MySQL%20docs/www.w3schools.com/mysql/mysql_having.html	(from https://www.w3schools.com/mysql/)
