date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:15:04	123685/123685	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2003:41:40%20GMT	https://www.w3schools.com/python/default.asp	D:/python-docs/python/www.w3schools.com/python/default.html	(from )
06:15:04	166/166	---M-Z	200	added ('OK')	text/plain	etag:%22010c44ee47cd91:0%22	https://www.w3schools.com/robots.txt		(from )
06:15:05	63593/63593	---M-Z	200	added ('OK')	text/css	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/w3schools31.css	D:/python-docs/python/www.w3schools.com/lib/w3schools31.css	(from https://www.w3schools.com/python/default.asp)
06:15:05	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2004%20May%202023%2004:15:06%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/python-docs/python/www.googletagmanager.com/gtm.25445.delayed	(from https://www.w3schools.com/python/default.asp)
06:15:05	70128/70128	---M-Z	200	added ('OK')	application/javascript	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/uic.js?v=1.0.5	D:/python-docs/python/www.w3schools.com/lib/uic3447.js	(from https://www.w3schools.com/python/default.asp)
06:15:06	9064/9064	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2004%20May%202023%2004:15:07%20GMT	https://www.w3schools.com/python/python/	D:/python-docs/python/www.w3schools.com/python/python/index.html	(from https://www.w3schools.com/python/default.asp)
06:15:06	99821/99821	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2003:11:11%20GMT	https://www.w3schools.com/python/pandas/	D:/python-docs/python/www.w3schools.com/python/pandas/index.html	(from https://www.w3schools.com/python/default.asp)
06:15:06	15965/15965	---MCZ	200	added ('OK')	application/javascript	etag:W/%223e5d-5fab6ec2a15fe%22	https://cdn.snigelweb.com/adengine/w3schools.com/loader.js	D:/python-docs/python/cdn.snigelweb.com/adengine/w3schools.com/loader.js	(from https://www.w3schools.com/python/default.asp)
06:15:07	101521/101521	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2004:15:07%20GMT	https://www.w3schools.com/python/numpy/	D:/python-docs/python/www.w3schools.com/python/numpy/index.html	(from https://www.w3schools.com/python/default.asp)
06:15:07	96682/96682	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20May%202023%2003:08:13%20GMT	https://www.w3schools.com/python/scipy/	D:/python-docs/python/www.w3schools.com/python/scipy/index.html	(from https://www.w3schools.com/python/default.asp)
06:15:07	3237/3237	---M-Z	200	added ('OK')	application/javascript	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/common-deps.js?v=1.0.1	D:/python-docs/python/www.w3schools.com/lib/common-depsf700.js	(from https://www.w3schools.com/python/default.asp)
06:15:07	52679/52679	---M-Z	200	added ('OK')	application/javascript	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/user-session.js?v=1.0.28	D:/python-docs/python/www.w3schools.com/lib/user-session0ca8.js	(from https://www.w3schools.com/python/default.asp)
06:15:07	19401/19401	---M-Z	200	added ('OK')	application/javascript	etag:%22010c44ee47cd91:0+gzip%22	https://www.w3schools.com/lib/my-learning.js?v=1.0.19	D:/python-docs/python/www.w3schools.com/lib/my-learning17d3.js	(from https://www.w3schools.com/python/default.asp)
